solver,N,mean_s,std_s,reps
pawc,100,0.00010481763941546281,1.5653082919551075e-05,3
pawc,300,0.00019528002788623175,7.927924656847875e-06,3
pawc,1000,0.0005591873389979204,8.624220547472743e-06,3
pawc,3000,0.001728008035570383,8.431830238355808e-06,3
pawc,10000,0.006437161083643635,2.619657018164617e-05,3
pawc,30000,0.02120643644593656,0.00028051427716482705,2
pawc,100000,0.10480557347182184,0.003702433206740886,2
pawc_numba,100,4.0246949841578804e-05,6.663112710932607e-06,3
pawc_numba,300,6.0203950852155685e-05,5.641920088908916e-06,3
pawc_numba,1000,0.00013973012877007326,1.3966601211959089e-05,3
pawc_numba,3000,0.0004637874662876129,9.14906559008168e-06,3
pawc_numba,10000,0.0017471232761939366,6.772893936537507e-06,3
pawc_numba,30000,0.0057406555861234665,8.831081852048265e-06,2
pawc_numba,100000,0.0215018856106326,8.767219498386641e-05,2
pawl,100,3.4962703163425125e-05,3.2359940379182243e-06,3
pawl,300,0.00012652374183138212,5.573363086873136e-05,3
pawl,1000,0.0002899464064588149,1.4227372541068931e-05,3
pawl,3000,0.0009385776550819477,4.3411037327147995e-06,3
pawl,10000,0.0033032295759767294,4.2791828489983924e-05,3
pawl,30000,0.010046463459730148,8.166742152395298e-05,2
pawl,100000,0.037562932004220784,0.0015602438985562789,2
baseline_cuts,100,0.004015800620739658,2.780952933787782e-05,3
baseline_cuts,300,0.032259304697314896,6.984024330693166e-05,3
baseline_cuts,1000,0.35029036256795126,0.0012568512138702616,3
baseline_cuts,3000,3.3480792393287024,0.021774810535521907,3
baseline_cuts,10000,38.77195286199761,0.04321901104557271,3
